Institution,CourseNumber,LaunchDate,CourseTitle,Instructors,CourseSubject,Year,Participants,PercentAudited,PercentCertified,PercentCertifiedAudited,PercentPlayedVideo,PercentPosted,PercentGradeHigherThanZero,TotalCourseHours,MedianHoursCertification,MedianAge,PercentFemale,PercentBachelorOrHigher
HarvardX,PH525.7x,2015-04-27,"Data Analysis for Genomics: Case study, ChIP Sequence Data Analysis",Rafael Irizarry,GHSS,3,2250,83.96,11.23,13.38,52.54,2.14,24.91,3.6,4.14,30.0,31.41,89.94
HarvardX,PH525.8x,2015-04-27,"Data Analysis for Genomics: Case study, DNA Methylation Data Analysis",Rafael Irizarry,GHSS,3,2656,77.9,8.52,10.94,48.94,2.34,18.4,5.33,11.09,29.0,34.66,83.74
MITx,15.390.2x,2015-05-01,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,GHSS,3,6137,21.12,3.0,9.88,55.99,1.4,2.97,11.95,8.72,28.0,25.78,71.62
HarvardX,BUS5.1x,2015-05-05,Innovating in Health Care,"Regina Herzlinger, Margo Selzer",GHSS,3,9185,63.46,1.99,3.14,46.81,6.72,6.28,13.23,14.92,30.0,38.52,84.74
HarvardX,AMPOx.5,2015-05-06,Poetry in America: The Civil War and Its Aftermath,Elisa New,HHDRE,3,2479,43.51,7.93,18.22,65.91,15.89,24.67,7.49,14.8,39.0,58.75,73.39
HarvardX,GSE3x,2015-05-12,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,HHDRE,4,8286,21.54,9.74,45.24,62.44,0.1,21.02,20.03,9.66,35.0,53.61,87.58
MITx,CTL.SC1x,2015-05-27,Supply Chain and Logistics Fundamentals,Chris Caplice,GHSS,3,19996,17.41,6.96,39.99,69.82,16.42,20.19,344.95,131.05,29.0,24.02,81.29
MITx,8.MECHCx,2015-05-28,Advanced Introductory Classical Mechanics,David E. Pritchard,STEM,3,8088,5.85,2.08,35.52,59.99,5.82,13.67,67.6,182.95,24.0,20.64,48.24
MITx,UINOV8x,2015-06-01,User Innovation: A Path to Entrepreneurship,Eric von Hippel,GHSS,3,41361,10.67,2.98,26.38,62.1,2.41,2.98,69.95,9.18,27.0,26.92,68.73
MITx,18.01.1x,2015-06-02,Calculus: Differentiation,David Jerison,STEM,3,18266,20.44,3.6,17.62,63.22,5.68,20.32,218.27,117.82,26.0,20.34,55.67
MITx,15.071x,2015-06-02,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair",GHSS,3,31551,15.89,6.18,38.88,69.88,5.98,30.91,547.35,120.1,28.0,18.75,84.94
MITx,24.118x,2015-06-09,Paradox and Infinity,Augustin Rayo,HHDRE,3,12426,16.01,5.63,35.13,73.7,7.39,19.5,83.98,43.53,27.0,25.15,61.12
MITx,6.00.1x,2015-06-10,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",CS,3,53964,17.76,9.72,54.68,77.31,7.6,49.0,895.01,86.65,25.0,21.47,64.59
MITx,0.111x,2015-06-15,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,STEM,3,6934,21.0,1.82,8.65,69.44,9.97,3.95,15.61,24.54,29.0,31.05,76.69
HarvardX,MCB63x,2015-06-16,Principles of Biochemistry,"Alain Viel, Rachelle Gaudet",STEM,4,31710,41.87,2.49,5.94,55.96,4.37,9.91,90.12,35.11,24.0,45.95,59.0
HarvardX,SPU27x,2015-06-17,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,STEM,4,48922,7.75,1.03,13.26,63.28,7.3,13.33,67.71,12.28,30.0,52.19,69.11
MITx,10.03x,2015-07-14,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs",GHSS,3,4404,45.69,14.49,31.71,68.51,17.73,40.8,41.5,29.18,28.0,40.47,74.49
MITx,11.133x,2015-07-15,Implementation and Evaluation of Educational Technology,Eric Klopfer,HHDRE,3,4518,28.02,10.42,36.97,58.5,0.0,22.02,11.99,9.52,34.0,39.68,87.64
MITx,7.28.1x,2015-08-04,Molecular Biology: DNA Replication and Repair,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton",STEM,4,5725,15.11,3.65,24.16,65.17,7.35,37.05,43.57,85.86,28.0,44.3,72.99
HarvardX,USW30x,2015-08-05,Tangible Things,Laurel Ulrich,HHDRE,3,4794,18.71,7.36,39.35,66.58,23.8,24.7,10.93,11.04,32.0,65.69,75.32
MITx,6.00.1x,2015-08-26,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",CS,4,54361,14.09,6.27,44.49,70.35,6.07,37.54,567.96,74.39,26.0,18.55,66.28
MITx,6.004.1x,2015-09-01,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Wachman",CS,4,16094,11.87,2.34,19.74,62.85,0.0,7.08,97.06,72.89,24.0,12.63,55.59
HarvardX,HKS101A,2015-09-08,Introduction to American Government,Thomas Patterson,GHSS,3,16005,10.17,3.89,36.94,54.95,13.95,18.98,63.24,29.99,27.0,41.62,61.59
MITx,3.091x,2015-09-08,Introduction to Solid State Chemistry,Michael Cima,STEM,4,4767,5.83,2.08,35.61,65.47,4.82,9.63,41.98,157.0,25.0,24.45,61.27
MITx,3.032.1x,2015-09-09,Mechanical Behavior of Materials: Linear Elastic Behavior,Lorna J. Gibson,STEM,4,6577,36.37,6.77,18.27,63.21,4.64,13.2,40.32,32.79,25.0,16.66,67.57
MITx,15.671x,2015-09-10,"Transforming Business, Society, and Self",Otto Scharmer,GHSS,4,23087,20.41,6.96,33.47,62.56,0.0,19.73,166.11,31.24,39.0,48.79,86.69
HarvardX,VJx,2015-09-15,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa",HHDRE,4,2175,27.03,15.17,56.12,72.41,20.51,41.24,11.83,22.34,30.0,43.63,73.26
HarvardX,HUM1.1x,2015-09-21,History of the Book: Making and Meaning in the Medieval Manuscript,"Jeffrey Hamburger, Bill Stoneman",HHDRE,4,4033,37.59,11.41,27.18,73.47,4.76,11.41,11.11,5.88,36.0,60.89,75.55
HarvardX,HUM1.2x,2015-09-21,History of the Book: Scrolls in the Age of the Book,Tom Kelly,HHDRE,4,2085,41.2,18.71,44.82,66.19,4.8,18.71,4.95,4.93,36.0,57.74,73.88
HarvardX,HUM1.3x,2015-09-21,"History of the Book: Print and Manuscript in Western Europe, Asia and the Middle East (1450-1650)",Ann Blair,HHDRE,4,1732,45.5,20.84,44.8,69.34,3.98,20.84,4.39,4.79,35.5,57.76,79.85
HarvardX,HUM1.4x,2015-09-21,History of the Book: The History of the Book in the 17th and 18th Century Europe,Robert Darnton,HHDRE,4,2587,55.97,19.4,34.6,67.53,1.43,19.4,5.71,4.28,32.0,61.96,73.64
HarvardX,HUM1.5x,2015-09-21,History of the Book: Book Sleuthing: What 19th-Century Books Can Tell Us About the Rise of the Reading Public,Leah Price,HHDRE,4,2862,46.4,15.48,33.21,69.01,7.65,15.48,3.35,2.09,35.0,66.62,72.64
HarvardX,HUM1.6x,2015-09-21,"History of the Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Dan Smail,HHDRE,4,1602,41.32,15.17,35.2,70.85,4.99,15.17,6.13,9.13,36.0,58.34,72.64
HarvardX,HUM1.7x,2015-09-21,"History of the Book: Monasteries, Schools, and Notaries, Part 2: Introduction to the Transitional Gothic Script",Beverly Kienzle,HHDRE,4,670,54.33,28.51,51.37,64.93,7.01,28.51,3.49,8.25,39.0,55.24,77.52
HarvardX,HUM1.8x,2015-09-21,History of the Book: The Medieval Book of Hours: Art and Devotion in the Later Middle Ages,"Jeffrey Hamburger, Bill Stoneman",HHDRE,4,1472,22.08,12.84,44.31,66.92,6.79,12.84,6.93,12.48,38.0,62.09,76.11
HarvardX,HUM1.9x,2015-09-21,History of the Book: Books in the Medieval Liturgy,Tom Kelly,HHDRE,4,1698,38.93,19.43,49.32,65.37,4.89,19.43,4.51,5.54,33.0,53.8,70.79
MITx,14.74x,2015-09-21,Foundations of Development Policy: Advanced Development Economics,"Abhijit Vinayak Banerjee, Esther Duflo, Benjamin Olken",GHSS,4,7532,9.85,4.78,48.52,58.87,6.63,27.02,77.46,104.81,28.0,40.09,85.32
MITx,8.421.1x,2015-09-21,Atomic and Optical Physics: Resonance,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang",STEM,4,6129,24.11,3.25,13.46,69.15,3.9,10.2,18.64,24.68,26.0,13.36,68.83
MITx,4.605x,2015-09-22,A Global History of Architecture,Mark Jarzombek,HHDRE,4,5724,15.86,8.7,54.85,62.35,10.13,21.24,77.42,83.16,29.0,52.76,74.29
MITx,6.002.1x,2015-09-29,Circuits and Electronics: Basic Circuit Analysis,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,4,38119,14.3,1.55,10.62,69.08,2.01,1.55,174.06,48.13,25.0,12.64,52.02
MITx,6.002.2x,2015-09-29,"Circuits and Electronics: Amplification, Speed, and Delay","Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,4,6146,20.6,2.78,13.35,48.97,1.46,2.78,28.65,52.62,24.0,10.45,58.46
MITx,6.002.3x,2015-09-29,Circuits and Electronics: Applications,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,4,5566,14.46,1.71,11.18,44.39,1.04,1.71,17.95,53.73,24.0,11.19,59.47
MITx,CTL.SC2x,2015-09-30,Supply Chain Design,"Chris Caplice, Yossi Sheffi, James Blayney Rice Jr., Jarrod Goentzel",GHSS,4,14679,26.13,12.59,48.18,74.52,12.98,26.53,316.74,115.81,29.0,21.79,85.02
HarvardX,GOV1368.1x,2015-10-01,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,HHDRE,4,3126,18.59,7.87,42.34,61.1,10.04,7.87,8.08,10.69,29.0,59.86,72.04
HarvardX,GOV1368.2x,2015-10-01,"Saving Schools: History, Politics, and Policy of U.S. Education – Teacher Policies",Paul Peterson,HHDRE,4,702,49.57,25.64,51.72,55.98,11.54,25.64,1.85,4.65,31.0,51.02,80.42
HarvardX,GOV1368.3x,2015-10-01,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,HHDRE,4,492,50.0,25.81,51.22,54.07,8.54,25.81,1.18,3.67,30.0,50.91,78.86
HarvardX,GOV1368.4x,2015-10-01,"Saving Schools: History, Politics, and Policy of U.S. Education – School Choice",Paul Peterson,HHDRE,4,511,41.49,22.11,53.3,49.71,5.68,22.11,1.08,4.44,31.0,51.52,74.39
HarvardX,ER22x,2015-10-01,Justice,Michael Sandel,HHDRE,4,30699,11.75,5.62,45.77,66.93,10.5,20.25,109.74,16.72,26.0,42.44,66.5
MITx,6.832x,2015-10-01,Underactuated Robotics,"Russ Tedrake, Robin Deits, Twan Koolen",STEM,4,10191,10.46,1.45,13.79,59.74,0.0,7.12,45.06,74.06,24.0,8.96,61.19
MITx,20.305x,2015-10-05,Principles of Synthetic Biology,"Adam Arkin, Ron Weiss",STEM,4,11574,3.61,0.92,25.12,54.94,4.18,5.19,83.14,181.45,25.0,27.19,66.14
MITx,JPAL101x,2015-10-05,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland",GHSS,4,4187,16.17,4.54,28.06,54.93,5.18,19.3,21.5,38.13,30.0,49.23,89.92
HarvardX,SPU30x,2015-10-13,Super-Earths and Life,Dimitar Sasselov,STEM,4,29176,38.56,16.86,43.72,51.96,26.62,52.35,109.0,13.47,26.0,39.91,44.95
MITx,3.032.2x,2015-10-14,"Mechanical Behavior of Materials: Stress Transformations, Beams, Columns, and Cellular Solids",Lorna J. Gibson,STEM,4,3178,56.95,10.07,17.62,55.44,4.56,15.8,20.12,31.84,25.0,13.86,69.15
HarvardX,PH525.1x,2015-10-15,Data Analysis for Genomics: Statistics and R,Rafael Irizarry,GHSS,4,18540,37.49,4.28,11.41,60.5,3.07,4.28,64.81,23.29,28.0,34.06,84.7
MITx,8.421.2x,2015-10-19,Atomic and Optical Physics: Atomic structure and atoms in external field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang",STEM,4,1178,41.09,7.98,19.42,59.76,6.2,22.16,9.8,50.19,27.0,13.46,71.11
MITx,6.00.2x,2015-10-20,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",CS,4,12426,18.82,12.2,64.76,70.46,7.48,31.47,167.8,69.53,28.0,14.61,74.43
HarvardX,SW12.1x,2015-10-27,Political and Intellectual Foundations: From the Sage Kings to Confucius and the Legalists,"Peter Bol, Bill Kirby",HHDRE,4,6519,13.62,3.9,28.04,78.74,12.59,3.91,25.68,20.82,28.0,39.25,71.15
HarvardX,SW12.2x,2015-10-27,The Creation and End of Centralized Empire,"Peter Bol, Bill Kirby",HHDRE,4,849,32.39,13.19,36.73,76.44,20.26,13.19,6.84,20.91,30.0,35.71,75.56
HarvardX,SW12.3x,2015-10-27,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby",HHDRE,4,729,27.71,12.62,39.6,79.15,14.95,12.62,3.44,12.5,28.0,45.61,73.78
HarvardX,SW12.4x,2015-10-27,Literati China: Examinations and Neo-Confucianism,"Peter Bol, Bill Kirby",HHDRE,4,427,45.67,13.58,29.23,66.51,17.8,13.58,3.11,18.05,31.0,33.62,73.96
HarvardX,SW12.5x,2015-10-27,From a Global Empire under the Mongols to a Global Economy under the Ming Dynasty,"Peter Bol, Bill Kirby",HHDRE,4,461,42.73,14.32,33.5,67.03,11.71,14.32,2.27,15.9,31.0,33.33,77.47
MITx,10.03x,2015-10-27,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Dr.  Stacy L. Springs, Dr. Paul W. Barone, Betsy Skrip, Nicholas Mozdzierz, Eric Miller",GHSS,4,2599,45.09,16.78,37.2,69.41,16.93,42.17,30.39,33.65,28.0,40.47,76.87
MITx,7.28.2x,2015-10-27,Molecular Biology: Transcription and Transposition,"Stephen P. Bell, Tania A. Baker, Mary Ellen Wiltrout, Nathaniel Schafheimer, Sera Thornton",STEM,4,2860,32.17,11.64,36.2,63.64,6.78,33.36,47.23,77.55,29.0,40.9,76.33
HarvardX,SW12.10x,2015-11-02,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby",HHDRE,4,948,25.95,6.86,26.42,74.26,8.44,6.86,4.94,20.87,27.0,33.55,73.56
HarvardX,SW12.6x,2015-11-02,The Manchus and the Qing Dynasty,"Peter Bol, Bill Kirby",HHDRE,4,1381,18.61,10.5,46.3,72.56,9.12,10.57,3.66,8.38,26.0,39.2,68.16
HarvardX,SW12.7x,2015-11-02,"Invasions, Rebellions and the Fall of Imperial China","Peter Bol, Bill Kirby",HHDRE,4,385,51.69,17.4,33.67,72.73,18.7,17.4,2.03,12.05,31.0,39.16,79.67
HarvardX,SW12.8x,2015-11-02,Creating Modern China: The Birth of a Nation,"Peter Bol, Bill Kirby",HHDRE,4,422,46.21,13.27,28.72,73.22,14.22,13.27,2.02,12.21,30.0,37.91,79.69
HarvardX,SW12.9x,2015-11-02,China and Communism,"Peter Bol, Bill Kirby",HHDRE,4,515,37.28,11.65,31.25,74.17,11.07,11.65,1.95,10.3,27.0,31.33,74.94
HarvardX,VJx,2015-11-10,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity","Andrew Gordon, John Dower, Shigeru Miyagawa",HHDRE,4,4842,15.9,5.14,32.34,68.26,7.43,5.14,18.37,25.89,26.0,41.13,65.96
MITx,3.032.3x,2015-11-11,Mechanical Behavior of Materials: Time Dependent Behavior and Failure,Lorna J. Gibson,STEM,4,2075,36.29,8.63,23.51,53.69,4.24,15.71,14.81,43.47,25.0,14.75,75.33
HarvardX,PH525.2x,2015-11-15,Data Analysis for Genomics: Matrix Algebra and Linear Models,Rafael Irizarry,GHSS,4,3654,50.63,12.15,24.0,54.71,1.7,12.15,10.6,11.25,29.0,25.34,84.27
HarvardX,MUS24x,2015-11-16,First Nights: Handel’s Messiah and Baroque Oratorio,Tom Kelly,HHDRE,4,3806,47.03,12.56,26.7,78.09,14.61,12.56,12.87,8.41,36.0,47.13,71.11
MITx,8.421.3x,2015-11-16,Atomic and Optical Physics: Atom-Light Interactions 1 -- Matrix elements and quantized field,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang",STEM,4,790,36.71,7.97,21.72,55.06,6.58,17.09,6.44,56.85,26.0,12.8,71.74
MITx,6.004.2x,2015-11-17,Computation Structures: Computer Architecture,"Chris Terman, Steve Ward, Silvina Hanono Wachman",CS,4,8495,13.67,4.78,34.97,49.38,4.13,7.68,56.13,80.09,25.0,11.42,61.03
MITx,24.09x,2015-11-17,Philosophy: Minds and Machines,Alex Byrne,HHDRE,4,10837,9.2,3.53,37.81,61.87,7.93,8.41,94.63,73.07,29.0,26.66,67.25
MITx,18.01.2x,2015-12-01,Calculus: Integration,David Jerison,STEM,4,7260,16.75,4.63,27.63,59.39,5.99,17.41,114.85,170.68,25.0,18.54,51.52
HarvardX,PH557x,2015-12-03,Lessons from Ebola: Preventing the Next Pandemic,Ashish Jha,GHSS,4,3072,48.14,20.05,41.65,70.54,14.71,39.62,14.21,12.82,27.0,54.51,70.64
MITx,8.421.4x,2015-12-14,Atomic and Optical Physics: Atom-Light Interactions 2: Line Broadening and Two-Photon Transitions,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang",STEM,4,658,33.59,7.29,21.72,47.57,5.93,18.54,3.88,42.5,26.0,14.99,71.48
HarvardX,PH525.3x,2015-12-15,Data Analysis for Genomics: Statistical Inference and Modeling for High-throughput Experiments,Rafael Irizarry,GHSS,4,2379,50.11,11.64,23.24,47.88,3.15,11.64,8.89,16.68,29.0,29.72,85.62
HarvardX,CS50x,2016-01-01,Introduction to Computer Science (2016),,CS,4,168335,6.09,0.25,2.93,69.02,0.0,0.0,708.69,0.0,23.0,22.56,49.51
MITx,6.302.0x,2016-01-04,Introduction to Feedback Control Theory,"Jacob White, Joe Steinmeyer",STEM,4,8377,45.16,1.52,3.36,12.25,2.6,7.09,21.3,42.73,25.0,7.46,64.22
HarvardX,HLS2x,2016-01-07,Contracts Law: From Trust to Promise to Contract,Charles Fried,GHSS,4,13798,24.39,16.17,66.3,59.13,24.03,38.35,97.71,28.01,29.0,39.84,75.91
MITx,8.MECHCx,2016-01-07,Advanced Introductory Classical Mechanics,"David E. Pritchard, Chris Chudzicki, Zhongzhou Chen",STEM,4,5747,5.27,1.76,33.33,54.76,4.07,8.77,53.1,200.43,23.0,15.89,49.44
MITx,6.00.1x,2016-01-13,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag, Ana Bell",CS,4,63658,13.83,5.88,42.52,51.8,7.19,36.31,248.96,17.62,26.0,18.77,61.74
HarvardX,PH525.4x,2016-01-15,Data Analysis for Genomics: Introduction to High-Dimensional Data Analysis,Rafael Irizarry,GHSS,4,2321,46.53,8.32,17.87,47.78,2.24,8.32,8.21,16.76,29.0,27.43,87.18
MITx,8.421.5x,2016-01-15,Atomic and Optical Physics: Coherence,"Wolfgang Ketterle, David E. Pritchard, Isaac Chuang",STEM,4,639,32.24,4.07,12.62,46.32,3.6,14.71,2.6,37.45,27.0,14.4,74.21
HarvardX,PH556x,2016-01-20,Practical Improvement Science in Health Care: A Roadmap for Getting Results,"Don Goldmann, Dave Williams, Don Berwick",GHSS,4,6792,40.74,13.3,32.63,57.14,35.28,44.38,19.79,9.39,40.0,62.76,91.03
HarvardX,MUS24x,2016-01-21,First Nights: Beethoven's 9th Symphony,Tom Kelly,HHDRE,4,4237,54.33,13.85,25.5,79.75,5.15,25.96,19.23,11.85,31.0,40.05,68.39
HarvardX,PH231x,2016-01-25,Readings in Global Health,David Hunter,GHSS,4,5309,20.61,7.89,38.3,64.23,6.33,28.12,29.9,37.04,31.0,55.19,83.58
MITx,LAUNCH.x,2016-01-25,Becoming an Entrepreneur,Laurie Stach,GHSS,4,18183,20.93,1.31,6.28,70.58,15.71,38.4,45.76,16.21,27.0,23.79,67.37
MITx,3.054.1x,2016-01-27,"Cellular Solids: Structures, Properties and Engineering Applications",Lorna J. Gibson,STEM,4,2456,16.41,4.03,24.57,55.82,4.11,10.34,16.98,73.52,26.0,20.47,72.65
MITx,11.132x,2016-01-27,Design and Development of Educational Technology,"Eric Klopfer, Scot Osterweil, Judy Perry",HHDRE,4,8405,25.6,1.9,7.43,59.88,0.0,17.13,28.24,31.36,32.0,40.5,83.34
MITx,21W.789x,2016-02-01,Mobile Application Experiences: From a Domain to an App Idea,"Frank Bentley, Ed Barrett",CS,4,16407,18.64,0.14,0.75,62.13,5.18,9.72,27.77,22.17,28.0,19.84,68.29
MITx,6.041x,2016-02-02,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jaillet, Aliaa Atwi, Dimitri Bertsekas, Qing He, Jimmy Li, Jagdish Ramakrishnan, Katie Szeto, Kuang Xu",STEM,4,17354,10.55,0.78,7.43,67.28,3.09,12.22,269.33,212.83,27.0,16.48,72.77
MITx,16.110x,2016-02-09,Flight Vehicle Aerodynamics,"Mark Drela, Alejandra Uranga",STEM,4,9788,2.63,0.59,22.18,40.32,1.2,2.05,28.77,160.04,22.0,10.39,54.22
MITx,CTL.SC1x,2016-02-10,Supply Chain and Logistics Fundamentals,Chris Caplice,GHSS,4,18686,25.92,13.22,51.01,80.21,20.05,33.93,674.4,158.0,29.0,22.8,84.06
HarvardX,PH525.5x,2016-02-15,Data Analysis for Genomics: Introduction to Bioconductor: Annotation and Analysis of Genomes and Genomic Assays,Rafael Irizarry,GHSS,4,1409,45.78,8.52,18.6,48.12,3.34,8.52,5.99,21.84,29.0,31.64,89.0
HarvardX,EMC2x,2016-02-16,The Einstein Revolution,Peter Galison,HHDRE,4,5571,7.63,0.16,2.12,69.22,6.46,13.95,20.91,86.81,27.0,31.34,62.59
MITx,12.340x,2016-02-16,Global Warming Science,"Kerry Emanuel, Dan Cziczo, David McGee",STEM,4,3842,19.39,1.33,6.85,57.63,5.36,18.69,25.06,101.75,26.0,34.63,67.98
MITx,8.05.1x,2016-02-17,Mastering Quantum Mechanics: Wave Mechanics,"Barton Zwiebach, Saif Rayyan",STEM,4,8936,14.21,0.62,4.33,73.06,5.14,14.67,72.3,111.02,25.0,13.22,61.23
MITx,14.73x,2016-02-22,The Challenges of Global Poverty,"Esther Duflo, Abhijit Vinayak Banerjee",GHSS,4,4250,11.62,6.96,59.72,64.96,6.59,22.45,45.06,85.52,27.0,45.86,78.42
HarvardX,SW25x,2016-02-23,Global Health Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker",GHSS,4,4050,17.06,11.65,68.31,58.47,15.36,33.06,28.87,37.03,27.0,59.1,76.79
MITx,21W.789.2x,2016-02-29,Mobile Application Experiences: Mobile App Design,"Frank Bentley, Ed Barrett",CS,4,4522,29.28,0.6,2.04,54.49,1.81,10.37,5.8,13.11,27.0,24.7,72.03
HarvardX,HDS3221.1x,2016-03-01,"World Religions Through their Scriptures: Religious Literacy, Traditions and Scriptures",Diane Moore,HHDRE,4,22153,22.11,1.27,5.76,77.24,34.35,1.28,79.36,26.43,39.0,63.04,78.46
MITx,6.00.2x,2016-03-02,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag, Ana Bell",CS,4,14003,15.58,3.66,23.51,64.74,5.99,22.88,144.07,73.23,26.0,14.7,72.2
HarvardX,PH525.6x,2016-03-15,Data Analysis for Genomics: High-performance Computing for Reproducible Genomics,Rafael Irizarry,GHSS,4,1546,32.47,1.23,3.78,35.12,2.39,1.23,2.99,23.84,28.0,27.17,84.66
HarvardX,HLS2x,2016-03-18,Contracts Law: From Trust to Promise to Contract,Charles Fried,GHSS,4,13260,14.74,4.43,30.03,64.8,12.55,4.54,50.6,23.64,28.0,41.47,73.01
MITx,8.05.2x,2016-03-23,Mastering Quantum Mechanics: Quantum Dynamics,"Barton Zwiebach, Saif Rayyan",STEM,4,1862,29.38,2.15,7.31,51.93,5.8,21.8,25.48,93.84,25.0,10.64,69.23
MITx,21W.789.3x,2016-03-28,Mobile Application Experiences: Building Mobile Apps,"Frank Bentley, Ed Barrett",CS,4,4276,23.39,0.21,0.9,52.78,1.29,5.0,4.28,14.64,25.0,17.35,63.35
MITx,15.662x,2016-03-28,Shaping the Future of Work,"Thomas Kochan, Gokce Basbug, Meryam Bukari, Shahid Azad, Kanika Almadi",GHSS,4,2583,17.27,1.97,11.43,65.51,12.08,19.36,10.78,27.19,30.0,35.83,76.56
MITx,18.01.3x,2016-03-29,Calculus: Coordinate Systems and Infinite Series,David Jerison,STEM,4,3749,32.17,6.21,19.32,55.75,0.16,22.99,44.72,90.87,25.0,16.6,58.93
MITx,7.QBWx,2016-03-29,Quantitative Biology Workshop,"Jeff Gore, Paul Blainey, Eric S. Lander, Ernest Fraenkel, Mary Ellen Wiltrout, Nathaniel Schafheimer",STEM,4,3294,16.76,2.13,12.68,61.51,8.74,31.36,45.41,94.76,27.0,37.35,74.65
HarvardX,HDS3221.2x,2016-04-05,World Religions Through their Scriptures: Christianity,Karen King,HHDRE,4,10188,27.58,1.35,4.91,75.31,20.95,1.41,37.58,28.9,37.0,48.96,73.72
HarvardX,AMPOx.6,2016-04-08,Poetry in America: Modernism,Elisa New,HHDRE,4,3049,24.89,1.48,5.93,72.94,18.6,1.57,24.48,59.94,36.0,60.5,75.44
MITx,3.054.2x,2016-04-08,Cellular Solids: Applications in Medicine,Lorna J. Gibson,STEM,4,510,81.57,10.39,12.74,47.84,5.1,16.47,2.53,26.52,27.0,26.64,73.97
MITx,15.071x,2016-04-12,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair, John Silberholz, Iain Dunning, Angie King, Velibor Misic, Nataly Youssef, Alex Weinstein, Jerry Kung",GHSS,4,33044,16.18,4.29,26.51,71.69,8.73,35.78,710.96,135.79,29.0,19.63,85.9
HarvardX,PH525.7x,2016-04-15,Data Analysis for Genomics: Case Studies in Functional Genomics,Rafael Irizarry,GHSS,4,1716,26.92,0.7,2.6,48.08,2.68,0.7,5.68,34.33,28.0,37.62,84.84
HarvardX,GSE3x,2016-04-19,Introduction to Data Wise: A Collaborative Process to Improve Learning and Teaching,Kathryn Parker Boudett,HHDRE,4,2493,32.21,2.53,7.85,65.3,29.12,2.61,10.31,16.94,37.0,64.69,92.08
MITx,11.405x,2016-04-19,Just Money: Banking as if Society Mattered,"J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis",GHSS,4,4955,25.71,5.13,19.94,61.59,0.0,20.14,24.76,21.67,34.0,39.39,81.85
MITx,21W.789.4x,2016-04-25,Mobile Application Experiences: Understanding Use,"Frank Bentley, Ed Barrett",CS,4,664,34.34,0.75,2.19,43.37,1.2,9.49,0.62,7.38,29.0,20.72,77.39
MITx,11.126x,2016-04-27,Introduction to Game Design,"Eric Klopfer, Philp Tan, Sara Verrilli",HHDRE,4,9933,9.29,1.22,13.11,58.4,0.0,16.3,27.02,27.33,26.0,23.28,58.91
MITx,8.05.3x,2016-04-27,Mastering Quantum Mechanics: Entanglement and Angular Momentum,"Barton Zwiebach, Saif Rayyan",STEM,4,1236,30.66,2.83,9.23,52.43,6.15,23.38,19.33,103.22,27.0,8.9,71.51
HarvardX,MUS24.1x,2016-04-28,First Nights: L'Orfeo,Tom Kelly,HHDRE,4,1199,53.29,3.59,6.73,78.23,6.42,3.75,4.94,8.01,40.0,46.37,78.46
